Fecha,MXNUSD,Apertura,Máximo,Mínimo,Vol.,% var.,obs
04.01.2021,19.953,19.8948,19.9989,19.7086,,0.39%,1217
05.01.2021,19.878,19.9755,20.1174,19.8023,,-0.38%,1216
06.01.2021,19.635,19.899,19.9977,19.5987,,-1.22%,1215
07.01.2021,19.9994,19.64,20.0974,19.611,,1.86%,1214
08.01.2021,20.0069,20.0134,20.1552,19.8642,,0.04%,1213
11.01.2021,20.0585,20.009,20.2686,19.9877,,0.26%,1212
12.01.2021,19.773,20.0726,20.1235,19.7698,,-1.42%,1211
13.01.2021,19.8392,19.7935,19.9004,19.7306,,0.33%,1210
14.01.2021,19.7061,19.8533,19.8957,19.6348,,-0.67%,1209
15.01.2021,19.772,19.7181,19.9031,19.6812,,0.33%,1208
18.01.2021,19.6708,19.8175,19.9705,19.6525,,-0.51%,1207
19.01.2021,19.65,19.6864,19.7347,19.5958,,-0.11%,1206
20.01.2021,19.588,19.6715,19.6776,19.5517,,-0.32%,1205
21.01.2021,19.714,19.6015,19.81,19.5436,,0.64%,1204
22.01.2021,19.963,19.7295,20.0075,19.7146,,1.26%,1203
25.01.2021,20.1037,19.965,20.241,19.8508,,0.70%,1202
26.01.2021,19.963,20.1157,20.2981,19.9337,,-0.70%,1201
27.01.2021,20.28,19.986,20.3342,19.977,,1.59%,1200
28.01.2021,20.2316,20.2771,20.465,20.1268,,-0.24%,1199
29.01.2021,20.5855,20.25,20.6045,20.0827,,1.75%,1198
01.02.2021,20.365,20.475,20.5188,20.2633,,-1.07%,1197
02.02.2021,20.115,20.381,20.3914,20.1106,,-1.23%,1196
03.02.2021,20.185,20.131,20.2554,20.0626,,0.35%,1195
04.02.2021,20.371,20.2075,20.5073,20.1702,,0.92%,1194
05.02.2021,20.077,20.395,20.4301,20.0718,,-1.44%,1193
08.02.2021,20.101,20.1133,20.2531,20.0678,,0.12%,1192
09.02.2021,20.075,20.11,20.1605,20.0019,,-0.13%,1191
10.02.2021,20.021,20.098,20.1577,19.9922,,-0.27%,1190
11.02.2021,19.943,20.0445,20.065,19.8953,,-0.39%,1189
12.02.2021,19.93,19.9635,20.0975,19.8962,,-0.07%,1188
15.02.2021,19.95,19.944,19.985,19.885,,0.10%,1187
16.02.2021,20.133,19.965,20.2528,19.9216,,0.92%,1186
17.02.2021,20.207,20.1475,20.3944,20.136,,0.37%,1185
18.02.2021,20.289,20.2295,20.4852,20.1347,,0.41%,1184
19.02.2021,20.425,20.31,20.5297,20.2517,,0.67%,1183
22.02.2021,20.714,20.4782,20.8348,20.4525,,1.41%,1182
23.02.2021,20.5,20.7315,20.7668,20.4965,,-1.03%,1181
24.02.2021,20.359,20.514,20.5583,20.3489,,-0.69%,1180
25.02.2021,20.836,20.3765,21.0395,20.3695,,2.34%,1179
26.02.2021,20.848,20.8525,21.051,20.7777,,0.06%,1178
01.03.2021,20.64,20.862,20.8753,20.575,,-1.00%,1177
02.03.2021,20.596,20.657,20.7944,20.5545,,-0.21%,1176
03.03.2021,20.935,20.6115,20.9998,20.5493,,1.65%,1175
04.03.2021,21.118,20.9465,21.1728,20.756,,0.87%,1174
05.03.2021,21.301,21.1265,21.4227,21.0876,,0.87%,1173
08.03.2021,21.509,21.254,21.6381,21.2135,,0.98%,1172
09.03.2021,21.188,21.518,21.5723,21.128,,-1.49%,1171
10.03.2021,20.872,21.197,21.2835,20.8669,,-1.49%,1170
11.03.2021,20.598,20.8855,20.9268,20.5797,,-1.31%,1169
12.03.2021,20.725,20.608,20.9344,20.5897,,0.62%,1168
15.03.2021,20.631,20.7205,20.8293,20.6266,,-0.45%,1167
16.03.2021,20.6213,20.6485,20.7336,20.5223,,-0.05%,1166
17.03.2021,20.388,20.622,20.8149,20.3111,,-1.13%,1165
18.03.2021,20.471,20.4,20.5969,20.2803,,0.41%,1164
19.03.2021,20.494,20.4855,20.5519,20.286,,0.11%,1163
22.03.2021,20.555,20.7825,20.8432,20.5296,,0.30%,1162
23.03.2021,20.831,20.5725,20.8648,20.5307,,1.34%,1161
24.03.2021,20.921,20.8485,20.9744,20.6634,,0.43%,1160
25.03.2021,20.675,20.938,20.9465,20.5825,,-1.18%,1159
26.03.2021,20.58,20.684,20.7362,20.537,,-0.46%,1158
29.03.2021,20.6081,20.6375,20.7903,20.5604,,0.14%,1157
30.03.2021,20.57,20.6087,20.7089,20.5424,,-0.18%,1156
31.03.2021,20.422,20.5875,20.6365,20.4033,,-0.72%,1155
01.04.2021,20.275,20.439,20.498,20.2686,,-0.72%,1154
02.04.2021,20.295,20.297,20.3515,20.2665,,0.10%,1153
05.04.2021,20.3,20.289,20.3843,20.2285,,0.02%,1152
06.04.2021,20.1656,20.312,20.3871,20.1396,,-0.66%,1151
07.04.2021,20.2054,20.1595,20.2565,20.1422,,0.20%,1150
08.04.2021,20.086,20.1985,20.2307,20.0636,,-0.59%,1149
09.04.2021,20.146,20.1025,20.2289,20.0684,,0.30%,1148
12.04.2021,20.128,20.1643,20.2235,20.0697,,-0.09%,1147
13.04.2021,20.0843,20.1405,20.2425,20.0417,,-0.22%,1146
14.04.2021,20.061,20.0849,20.1323,20.0104,,-0.12%,1145
15.04.2021,19.934,20.073,20.0999,19.8996,,-0.63%,1144
16.04.2021,19.915,19.94,19.9954,19.889,,-0.10%,1143
19.04.2021,19.813,19.914,19.9405,19.7922,,-0.51%,1142
20.04.2021,19.96,19.8185,20.0005,19.78,,0.74%,1141
21.04.2021,19.873,19.9725,19.996,19.8505,,-0.44%,1140
22.04.2021,19.914,19.8835,19.9873,19.8584,,0.21%,1139
23.04.2021,19.815,19.931,19.956,19.8055,,-0.50%,1138
26.04.2021,19.85,19.847,19.9046,19.7958,,0.18%,1137
27.04.2021,20.04,19.8585,20.0783,19.8511,,0.96%,1136
28.04.2021,19.901,20.0575,20.0936,19.8532,,-0.69%,1135
29.04.2021,20.04,19.916,20.1705,19.8611,,0.70%,1134
30.04.2021,20.226,20.052,20.285,20.0125,,0.93%,1133
03.05.2021,20.161,20.2415,20.319,20.1395,,-0.32%,1132
04.05.2021,20.18,20.177,20.3365,20.139,,0.09%,1131
05.05.2021,20.244,20.203,20.299,20.148,,0.32%,1130
06.05.2021,20.058,20.26,20.308,20.0655,,-0.92%,1129
07.05.2021,19.9,20.0815,20.1258,19.8535,,-0.79%,1128
10.05.2021,19.922,19.9073,19.9583,19.8585,,0.11%,1127
11.05.2021,19.949,19.933,20.0014,19.8254,,0.14%,1126
12.05.2021,20.156,19.967,20.1856,19.9253,,1.04%,1125
13.05.2021,19.925,20.168,20.2145,19.9132,,-1.15%,1124
14.05.2021,19.857,19.9365,19.9735,19.7531,,-0.34%,1123
